id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1043720393061872745,Getaway on the Rise,11132246,Aaron,,Greater Geelong,-38.1241208,144.6520245,Entire home/apt,446.0,2,2,2024-09-28,0.17,61,338,2,
1043726818965387292,Barwon River retreat,173429646,Sally - Airready,,Greater Geelong,-38.2683396,144.4988817,Entire home/apt,1589.0,2,11,2024-11-30,1.06,44,172,11,
1043752598204798816,Bliss by the Beach,84586909,Great Ocean Road Holidays,,Surf Coast,-38.45725,144.11173,Entire home/apt,381.0,2,0,,,539,15,0,
1043860281882133712,Wirilda wonder,173429646,Sally - Airready,,Surf Coast,-38.3087198,144.3351441,Entire home/apt,511.0,2,6,2024-04-01,0.49,44,47,6,
1044321331478491623,Banool I Linen Provided I Bush Views,98362024,Ji,,Surf Coast,-38.5317513,143.9729956,Entire home/apt,708.0,2,1,2024-05-19,0.13,113,165,1,
1044327012051587852,Barwon Heads Holiday House,550555540,Anthony,,Greater Geelong,-38.27547,144.49682,Entire home/apt,520.0,2,3,2024-11-24,0.27,1,349,3,
1044417596601976188,Family Beach House,91033878,Paul,,Greater Geelong,-38.2723201,144.4883926,Entire home/apt,857.0,2,6,2024-03-31,0.51,2,11,6,
1044508779022464424,The Old Courthouse,82961960,Rosemary,,Corangamite,-38.24004,142.91999,Entire home/apt,250.0,2,8,2024-10-27,0.68,1,159,8,
1044552650452768737,"Ocean Grove Oasis- Walk to Beach, Cafes & Pub",10441624,Angela,,Greater Geelong,-38.2684,144.5465,Entire home/apt,634.0,2,4,2024-04-07,0.33,3,354,4,
1044612928666793552,Coral Cove—Garden Serenity in Ocean Grove,496941607,Audrey And Willem,,Greater Geelong,-38.2621723,144.5242611,Entire home/apt,264.0,2,12,2024-10-04,0.98,14,322,11,
1044666196976905263,Cosy Country Coastal,423943890,Mat,,Queenscliffe,-38.26701,144.61926,Entire home/apt,177.0,2,15,2024-12-14,1.23,1,162,14,
1045082888575721299,La Casa Tranquilla,490665439,Antonio,,Moyne,-38.07349,142.80214,Entire home/apt,166.0,1,14,2024-12-07,1.11,1,53,11,
1045126242709312759,Peppercorn Cottage | Grampians,550725419,Min,,Southern Grampians,-37.64555,142.34961,Entire home/apt,623.0,2,8,2024-11-16,0.88,1,358,8,
1045159200038715213,Spacious Beach Holiday House with Trampoline.,213629579,Janell And Nathan,,Greater Geelong,-38.24297152796454,144.54278554123414,Entire home/apt,734.0,3,5,2024-01-25,0.41,49,19,5,
1045186858163997216,Coastal Beach Guesthouse,21078540,Kerryn,,Surf Coast,-38.32407,144.32192,Entire home/apt,260.0,2,11,2024-06-09,0.96,1,13,11,
1045197982422147709,The Sands Torquay Getaway,44076478,Amanda,,Surf Coast,-38.31037,144.33535,Entire home/apt,598.0,2,13,2024-10-13,1.07,27,235,13,
1045809203004557686,Dreamy Deans,98384524,Smyth Real Estate,,Surf Coast,-38.53095769999999,143.9782302,Entire home/apt,580.0,2,3,2024-09-29,0.27,29,331,3,
1045932667329814049,"Centrally located, spacious and one of a kind",218521139,Brad,,Glenelg,-38.35312,141.60012,Entire home/apt,298.0,2,41,2024-12-20,3.62,1,235,41,
1045935743017776315,Ocean Oasis,45820813,Paige,,Corangamite,-38.62049,142.99947,Entire home/apt,720.0,1,22,2024-12-14,2.02,1,338,22,
1046083330633801511,Rocklands Cottage,275889589,Maddison,,Southern Grampians,-37.22073,141.92248,Entire home/apt,120.0,2,5,2024-07-12,0.4,1,265,4,
1046526371880053029,Am Meer at Cora Lynn,84586909,Great Ocean Road Holidays,,Surf Coast,-38.53818,143.97283,Entire home/apt,315.0,2,0,,,539,206,0,
1046564619283983631,Secluded Bellbrae sanctuary,436105044,Airready,,Surf Coast,-38.3320233,144.2644945,Entire home/apt,332.0,2,16,2024-12-14,1.32,57,50,16,
1046644806696337674,13th Beach Family Paradise,86579227,Louise,,Greater Geelong,-38.27279,144.4495,Entire home/apt,1071.0,6,3,2024-12-24,3.0,1,330,3,
1047410433368186881,Barwon Beach Pad,1336847,Holly,,Greater Geelong,-38.26915,144.49511,Entire home/apt,150.0,1,27,2024-11-02,2.17,3,55,25,
1047431213020691848,Modern 1BR Apartment,196853904,Geelong,,Greater Geelong,-38.16728,144.39097,Entire home/apt,257.0,2,11,2024-12-08,0.91,4,56,11,
1047521940863414883,Charming Tiny House Farm Retreat in Barwon Heads,493079248,Zac,,Greater Geelong,-38.27267,144.48042,Entire home/apt,343.0,2,15,2024-12-08,1.24,2,57,15,
1047598407930668439,Ocean Grove Beach House,57340040,Chelsea,,Greater Geelong,-38.26804,144.54487,Entire home/apt,470.0,3,2,2024-12-27,0.22,1,150,2,
1048290745101408309,"Walk to beach, spa, fireplace, pets, 4 bedrooms",421209218,Leon,,Greater Geelong,-38.2673,144.53892,Entire home/apt,454.0,2,28,2024-12-02,2.45,1,167,28,
1048302074005053045,Bright Home & Garden in Geelong,42172172,Erica,,Greater Geelong,-38.1198179,144.3247487,Entire home/apt,235.0,2,4,2024-04-01,0.33,1,35,4,
1048677716400305269,Home in Corio,548723207,Alberto,,Greater Geelong,-38.0644406,144.3718485,Entire home/apt,180.0,1,43,2024-12-14,3.5,1,73,42,
1048730166621863948,The View on Seeberg,23012645,Lisa,,Colac Otway,-38.7474207,143.6614065,Entire home/apt,879.0,3,5,2024-11-24,0.74,37,237,5,
1048738202457661237,Spacious Modern Beach Retreat,13117190,Nicole,,Greater Geelong,-38.25196,144.56364,Entire home/apt,800.0,4,1,2024-01-10,0.08,1,302,1,
1048764431271351173,"Elysian Guest House ~
Apollo Bay",551435788,Emily,,Colac Otway,-38.7510315,143.6694282,Entire home/apt,900.0,4,2,2024-12-18,1.11,1,143,2,
1048797831877910618,Buckley's Cottage,98096620,Damian Allan,,Queenscliffe,-38.28859,144.61226,Entire home/apt,447.0,2,1,2024-03-10,0.1,102,55,1,
1048899886259009641,Modern Townhouse in Geelong,53483056,Haven Retreat,,Greater Geelong,-38.1551,144.35652,Entire home/apt,356.0,2,11,2024-12-07,0.94,22,78,11,
1049377401163854423,"The Esplanade, Portarlington",52958143,Clint,,Greater Geelong,-38.1189043,144.6873715,Entire home/apt,479.0,2,15,2024-12-27,1.25,1,171,15,
1049508024717332197,Pride Street Central Unit 7-13,51748440,Surf Coast Holiday Rentals,,Surf Coast,-38.33592,144.32222,Entire home/apt,318.0,2,1,2024-04-01,0.11,125,226,1,
1049573960091885151,Dunstans Rest,11132246,Aaron,,Greater Geelong,-38.171996,144.7086642,Entire home/apt,270.0,2,1,2024-11-04,0.55,61,337,1,
1049629307518089008,Inshore Pool Premium 99,51748440,Surf Coast Holiday Rentals,,Surf Coast,-38.3147,144.32496,Entire home/apt,963.0,2,2,2024-04-20,0.2,125,353,2,
1050134375380906803,"Curlewis family home
4 Bed Room",245899758,Anita,,Greater Geelong,-38.1765056,144.5473376,Entire home/apt,433.0,2,4,2024-03-31,0.34,1,45,4,
1050247409929563213,Ocean view in Lorne,29677296,Gavan,,Surf Coast,-38.543325,143.9752976,Entire home/apt,793.0,1,0,,,1,84,0,
1050247911542886548,Home on Hector,550163103,Emma,,Southern Grampians,-37.72973,142.02379,Entire home/apt,185.0,1,61,2024-12-24,5.24,1,72,61,
1050284949279065123,Apollo Bay Holiday House - 2 mins walk to beach,393803530,Ajit,,Colac Otway,-38.7588412,143.6676502,Entire home/apt,486.0,7,13,2024-11-23,1.07,1,355,13,
1050814384200602904,G&G Accessible Lifestyle @ 5,400389183,Giovanni,,Greater Geelong,-38.24509233587635,144.3770134799011,Entire home/apt,501.0,1,9,2024-11-24,0.73,2,105,7,
1050867339909597572,Kalinga Retreat - 12pm checkout - near Blue Lake,466856181,Helen,,Greater Geelong,-38.26069,144.51843,Entire home/apt,609.0,2,6,2024-09-14,0.56,52,0,6,
1050957800070634699,Jan Juc Surf Shack,18907036,Sarah,,Surf Coast,-38.3434819,144.2955974,Entire home/apt,483.0,2,30,2024-12-17,2.51,1,239,30,
1051007898487304782,The Fairway Club 8,51748440,Surf Coast Holiday Rentals,,Surf Coast,-38.30889,144.354,Entire home/apt,392.0,2,1,2024-01-06,0.08,125,356,1,
1051111796745885380,Fischer's Retreat,21945064,Victoria,,Surf Coast,-38.32098999999999,144.3244904,Entire home/apt,360.0,1,6,2024-04-01,0.5,1,31,6,
1051121289387574867,Cool Rm 3 perfect for 2 Central,168066985,Nicholas,,Greater Geelong,-38.1489741,144.3591065,Private room,140.0,1,17,2024-05-07,1.38,36,75,16,
1051247477223351885,View Bank,84586909,Great Ocean Road Holidays,,Surf Coast,-38.53648,143.96908,Entire home/apt,706.0,2,0,,,539,294,0,
1051256539470267060,Casa Lux,84586909,Great Ocean Road Holidays,,Surf Coast,-38.46308,144.10551,Entire home/apt,2100.0,2,3,2024-06-15,0.28,539,194,3,
1051307765672349695,The Shark Haus,20744596,Mellissa,,Moyne,-38.5982,142.87488,Entire home/apt,682.0,1,37,2024-10-05,3.02,15,71,36,
1051592587305899665,Royal Ingram,516579000,Surf Coast Holidays,,Surf Coast,-38.4040274,144.1827632,Entire home/apt,1210.0,2,6,2024-10-20,0.57,56,342,6,
1051717817908429059,Wheelchair Accessible 4 Bedroom,14215150,Christine,,Queenscliffe,-38.27083,144.65204,Entire home/apt,534.0,1,0,,,11,136,0,
1051828740062931536,Coastal Crib Near Torquay Surf Beach - 6 min drive,29902659,Debbie Regional Escapes,,Surf Coast,-38.32453,144.31015,Entire home/apt,360.0,2,7,2024-12-07,0.58,117,100,7,
1051958281860002482,Beautiful home GREAT location!,81583781,Jess,,Greater Geelong,-38.23936,144.34046,Entire home/apt,450.0,3,0,,,1,266,0,
1052256614970802378,Studio Diggs,103913648,Damien,,Surf Coast,-38.40831,144.18499,Entire home/apt,457.0,1,11,2024-09-27,0.97,13,341,11,
1052403594729615324,Marian's,84586909,Great Ocean Road Holidays,,Surf Coast,-38.45758,144.11356,Entire home/apt,270.0,2,1,2024-02-10,0.09,539,255,1,
1052417202901517732,Butter Factory 11,84586909,Great Ocean Road Holidays,,Colac Otway,-38.75512,143.6682,Entire home/apt,281.0,2,0,,,539,279,0,
1052572208854200303,Allawah - Stylish and Homely,84586909,Great Ocean Road Holidays,,Surf Coast,-38.52909,143.97715,Entire home/apt,360.0,2,2,2024-09-16,0.2,539,281,2,
